title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Boko Haram Attack, Borno",Boko Haram/ISWAP invaded some communities but were repelled by soldiers. Two residents and scores of the insurgents (assuming at least 40) were killed. A local church was also razed.,2025-11-28T23:00:00.000Z,"Chibok, Kwada",42,"political issue, religious issue",Vanguard (42 ),Chibok
"Anglican Priest, Kaduna","Bandits killed Venerable Edwin Achi, an Anglican priest, about a month after his abduction on October 28, 2025. His abductors initially demanded a ransom of N600 million for his release, but later reduced it to N200 million. His wife and daughter remain in captivity. It is believed that he was killed in the community where he was abducted.",2025-11-27T23:00:00.000Z,Ungwan Maijero,1,crime,"The Punch (1 ) , Vanguard (1 ) , Web Newspaper (1 )",Chikun
"Banditry, Kogi",Bandits killed a hunter and a resident during a foiled kidnapping attempt of students. Members of the Kiri Vigilante Group swiftly mobilised and rescued students who the gunmen had initially kidnapped.,2025-11-25T23:00:00.000Z,Aiyetoro Kiri settlement,2,crime,"Daily Trust (2 ) , Vanguard (2 )",Kabba/Bunu
"Banditry, Kogi",Troops of the 12 Brigade Nigerian Army killed a bandit and rescued a kidnapped victim. The bandits were reportedly crossing the Oshokoshoko Obajana corridor with some abducted persons when they were intercepted.,2025-11-24T23:00:00.000Z,Oshokoshoko,1,crime,"Other newspaper 2 (1 ) , Other newpapers 1 (1 ) , Nigerian Tribune (1 )",Lokoja
"Soldiers vs Boko Haram, Borno",Troops of 152 Task Force ambushed and killed 2 Boko Haram/ISWAP terrorists who were crossing into Nigeria from Cameroon.,2025-11-23T23:00:00.000Z,Banki–Kumshe route.,2,"political issue, religious issue","Other newspaper 3 (2 ) , Vanguard (2 )",Bama
"Soldiers vs Boko Haram, Borno",Troops of 192 Battalion and hybrid forces ambushed and killed 4 Boko Haram/ISWAP fighters. Others were reported to have escaped with gunshot injuries.,2025-11-23T23:00:00.000Z,Gwadale general area in Pulka–Gwoza axis,4,"political issue, religious issue","Other newspaper 3 (4 ) , Vanguard (4 )",Gwoza
"Soldiers vs Boko Haram, Borno",Troops of the 192 Battalion ambushed and killed a Boko Haram/ISWAP terrorist. Other insurgents reportedly retreated into the Mandara Mountains.,2025-11-23T23:00:00.000Z,Kwatarakasa,1,"political issue, religious issue","Other newspaper 3 (1 ) , Vanguard (1 )",Gwoza
"Banditry, Bauchi","Bandits killed Alhaji Muhammad Bakoshi, a community volunteer and the Jama’atu Izalatil Bid’ah Wa Iqamatus Sunnah (JIBWIS) Zalau Discipline Officer, and abducted his wife. He was killed in his residence.",2025-11-22T23:00:00.000Z,Zalau community,1,crime,"Daily Trust (1 ) , Vanguard (1 )",Toro
"Banditry, Bauchi","Bandits ambushed police men on a mission to curb farmer-herder conflict and killed DSP Ahmad Muhammad (SID), ASP Mustapha Muhammad (10 PMF), Inspector Amarhel Yunusa (10 PMF), Inspector Idris Ahmed (10 PMF) and Corporal Isah Muazu (AKU). 2 other officers were injured.",2025-11-21T23:00:00.000Z,Sabon Sara village,5,crime,"Other newspaper 2 (5 ) , Daily Trust (5 ) , Vanguard (5 )",Darazo
"Banditry, Niger","A vigilante member, Tukur Bala, died from gunshot injuries sustained during an encounter with bandits who raided a Fulani settlement to rustle cows. The victim and his colleagues repelled the attackers.",2025-11-21T23:00:00.000Z,"Kpada village, near Kuti community",1,crime,Daily Trust (1 ),Moya
